player_id,player_name,team,source,competition,season,game_date,opponent,result,date,min,pts,t2m,t2a,t2_pct,t3m,t3a,t3_pct,ftm,fta,ft_pct,reb_off,reb_def,reb,ast,stl,tov,blk,fouls,plus_minus,val
P003842,Mathias Lessort,Panathinaikos,euroleague,EuroLeague,E2025,2026-03-12,Zalgiris Kaunas,V 92-88,2026-03-18,23.22,9.0,4.0,8.0,50.0,0.0,0.0,,1.0,2.0,50.0,2.0,1.0,3.0,1.0,0.0,2.0,1.0,3.0,-1.0,9.0
P000848,Nemanja Nedović,AS Monaco,euroleague,EuroLeague,E2025,2026-03-12,Olympiacos Piraeus,V 81-80,2026-03-18,23.02,8.0,0.0,3.0,0.0,2.0,6.0,33.3,2.0,3.0,66.7,1.0,3.0,4.0,3.0,0.0,0.0,0.0,3.0,14.0,4.0
P010581,Dylan Osetkowski,Partizan Mozzart Bet,euroleague,EuroLeague,E2025,2026-03-17,Dubai Basketball,V 88-74,2026-03-18,21.03,7.0,2.0,3.0,66.7,1.0,6.0,16.7,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,-11.0,-2.0
P009992,Darío Brizuela,FC Barcelona,euroleague,EuroLeague,E2025,2026-03-13,Hapoel IBI Tel Aviv,D 75-80,2026-03-18,8.62,5.0,1.0,3.0,33.3,1.0,3.0,33.3,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-8.0,0.0
20209919,Darío Brizuela,FC Barcelona,acb,ACB,2025-26,2026-03-15,Asisa Joventut,D 84-72,2026-03-18,15.15,11.0,2.0,2.0,100.0,2.0,4.0,50.0,1.0,2.0,50.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,-5.0,7.0
P011305,Tyson Carter,Crvena zvezda,euroleague,EuroLeague,E2025,2026-03-13,Fenerbahce Beko Istanbul,V 79-73,2026-03-18,3.42,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,-2.0
20213230,Yankuba Sima,Valencia Basket,acb,ACB,2025-26,2026-02-15,MoraBanc And,V 75-107,2026-03-18,7.85,2.0,1.0,3.0,33.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,10.0,1.0
P011217,Kameron Taylor,Valencia Basket,euroleague,EuroLeague,E2025,2026-03-05,Zalgiris Kaunas,V 91-87,2026-03-18,22.92,5.0,1.0,1.0,100.0,1.0,3.0,33.3,0.0,0.0,,1.0,1.0,2.0,3.0,0.0,1.0,0.0,2.0,-2.0,10.0
30001981,Kameron Taylor,Valencia Basket,acb,ACB,2025-26,2026-02-15,MoraBanc And,V 75-107,2026-03-18,15.2,22.0,2.0,3.0,66.0,6.0,8.0,75.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,21.0
20210659,Giorgi Shermadini,Lenovo Tenerife,acb,ACB,2025-26,2026-03-07,BAXI Manresa,D 86-80,2026-03-18,23.73,24.0,7.0,9.0,77.0,0.0,0.0,0.0,10.0,11.0,90.0,2.0,2.0,4.0,1.0,0.0,1.0,0.0,2.0,-4.0,29.0
